"orderid","orderdate","receiveddate","quantity","cost","shippingcost","animal.animalid","animal.name","animal.category","animal.breed","animal.dateborn","animal.gender","animal.registered","animal.color","animal.listprice","merchandise.merchandiseid","merchandise.description","merchandise.quantityonhand","merchandise.listprice","merchandise.category","supplier.supplierid","supplier.name","supplier.contactname","supplier.phone","supplier.address","supplier.city","supplier.state","supplier.zipcode"
121,"2004-02-18","",1,109.8,47.67,156,"Alvin","Dog","Collie","2004-01-21","Male","AKC","Yellow",280.59,,"",,,"",2,"Fugate","Jody","615-625-9479","787 Park Street","Springfield","TN","37172"
122,"2004-02-18","",1,111.02,47.67,98,"Ricardo","Dog","Bulldog","2004-02-03","Male","AKC","Black",177.2,,"",,,"",2,"Fugate","Jody","615-625-9479","787 Park Street","Springfield","TN","37172"
123,"2004-02-18","",1,132.95,47.67,168,"Ray","Cat","Japanese Bobtail","2004-06-04","Male","CFA","Black",225.68,,"",,,"",2,"Fugate","Jody","615-625-9479","787 Park Street","Springfield","TN","37172"
124,"2004-02-21","",1,43.4,56.22,105,"Beth","Dog","Akita","2004-02-06","Female","AKC","White/Brown",177.06,,"",,,"",6,"Mason","Whitney","307-645-4066","5230 Pleasant Valley Drive","Cheyenne","WY","82001"
125,"2004-02-21","",1,79.51,56.22,23,"Craig","Dog","Poodle","2004-03-17","Male","AKC","White",108.32,,"",,,"",6,"Mason","Whitney","307-645-4066","5230 Pleasant Valley Drive","Cheyenne","WY","82001"
126,"2004-02-21","",1,84.95,56.22,102,"Leonard","Dog","Mastiff","2004-09-18","Male","AKC","Brown",197.31,,"",,,"",6,"Mason","Whitney","307-645-4066","5230 Pleasant Valley Drive","Cheyenne","WY","82001"
127,"2004-02-21","",1,87.18,56.22,143,"Leisha","Cat","Korat","2004-05-20","Female","CFA","Brown",163.07,,"",,,"",6,"Mason","Whitney","307-645-4066","5230 Pleasant Valley Drive","Cheyenne","WY","82001"
128,"2004-02-21","",1,89.77,56.22,144,"Dewey","Dog","Poodle-Toy","2004-05-07","Male","AKC","Black",182.6,,"",,,"",6,"Mason","Whitney","307-645-4066","5230 Pleasant Valley Drive","Cheyenne","WY","82001"
129,"2004-02-21","",1,97.84,56.22,137,"","Fish","Shark","2004-01-24","Female","","Gray",238.52,,"",,,"",6,"Mason","Whitney","307-645-4066","5230 Pleasant Valley Drive","Cheyenne","WY","82001"
130,"2004-02-21","",1,130.28,56.22,60,"Everett","Dog","Australian Shepherd","2004-05-20","Male","AKC","Brown/White",325.69,,"",,,"",6,"Mason","Whitney","307-645-4066","5230 Pleasant Valley Drive","Cheyenne","WY","82001"
131,"2004-02-21","",1,199.82,56.22,157,"","Bird","Parrot","2004-04-12","Male","","Red",237.81,,"",,,"",6,"Mason","Whitney","307-645-4066","5230 Pleasant Valley Drive","Cheyenne","WY","82001"
132,"2004-02-22","2004-03-17",1,14.28,62.9,25,"Vivian","Dog","Cocker Spaniel","2004-04-24","Female","","Red",128.18,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
133,"2004-02-22","2004-03-17",1,54.98,62.9,32,"Cathy","Cat","Scottish Fold","2004-06-05","Female","CFA","White",138.91,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
134,"2004-02-22","2004-03-17",1,154.74,62.9,148,"Wayne","Dog","Akita","2004-02-09","Male","AKC","White",257.89,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
135,"2004-02-22","2004-03-17",1,168.58,62.9,87,"Christine","Dog","Norfolk Terrier","2004-08-14","Female","AKC","Red",208.12,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
136,"2004-02-23","",1,114.71,39.34,31,"Taylor","Dog","Mastiff","2004-02-15","Male","AKC","Brown",164.7,,"",,,"",4,"Frost","Kaye","606-630-0346","7049 Carrington Road","Middlesboro","KY","40965"
137,"2004-02-23","",1,211.22,39.34,133,"Anissa","Cat","Canadian Hairless","2004-07-13","Female","CFA","Gray",328.17,,"",,,"",4,"Frost","Kaye","606-630-0346","7049 Carrington Road","Middlesboro","KY","40965"
138,"2004-02-25","",1,73.01,47.45,44,"Melanie","Dog","Mastiff","2004-06-18","Female","AKC","Black",141.17,,"",,,"",2,"Fugate","Jody","615-625-9479","787 Park Street","Springfield","TN","37172"
139,"2004-02-25","",1,106.84,47.45,65,"Bryce","Cat","Persian","2004-06-23","Male","CFA","White/Black",133.24,,"",,,"",2,"Fugate","Jody","615-625-9479","787 Park Street","Springfield","TN","37172"
140,"2004-02-25","",1,129.13,47.45,196,"Buck","Dog","Doberman","2004-06-05","Male","","Black",253.54,,"",,,"",2,"Fugate","Jody","615-625-9479","787 Park Street","Springfield","TN","37172"
141,"2004-02-25","",12,14.46,32.55,,"","","","","","","",,22,"Bird Cage-Large",15,75,"Bird",12,"Love","David","606-282-6165","5745 Mud River Valley Road","Harrodsburg","KY","40330"
142,"2004-02-25","",14,30.94,32.55,,"","","","","","","",,22,"Bird Cage-Large",15,75,"Bird",12,"Love","David","606-282-6165","5745 Mud River Valley Road","Harrodsburg","KY","40330"
143,"2004-02-25","",25,5.37,32.55,,"","","","","","","",,22,"Bird Cage-Large",15,75,"Bird",12,"Love","David","606-282-6165","5745 Mud River Valley Road","Harrodsburg","KY","40330"
144,"2004-02-25","",48,14.92,32.55,,"","","","","","","",,22,"Bird Cage-Large",15,75,"Bird",12,"Love","David","606-282-6165","5745 Mud River Valley Road","Harrodsburg","KY","40330"
145,"2004-02-25","",51,6.69,32.55,,"","","","","","","",,22,"Bird Cage-Large",15,75,"Bird",12,"Love","David","606-282-6165","5745 Mud River Valley Road","Harrodsburg","KY","40330"
146,"2004-02-27","2004-03-04",24,6.55,32.42,,"","","","","","","",,16,"Dog Food-Can-Premium",1179,0.8,"Dog",12,"Love","David","606-282-6165","5745 Mud River Valley Road","Harrodsburg","KY","40330"
147,"2004-02-27","2004-03-04",39,2.18,32.42,,"","","","","","","",,16,"Dog Food-Can-Premium",1179,0.8,"Dog",12,"Love","David","606-282-6165","5745 Mud River Valley Road","Harrodsburg","KY","40330"
148,"2004-02-27","2004-03-04",48,4.57,32.42,,"","","","","","","",,16,"Dog Food-Can-Premium",1179,0.8,"Dog",12,"Love","David","606-282-6165","5745 Mud River Valley Road","Harrodsburg","KY","40330"
149,"2004-02-27","2004-03-04",85,2.33,32.42,,"","","","","","","",,16,"Dog Food-Can-Premium",1179,0.8,"Dog",12,"Love","David","606-282-6165","5745 Mud River Valley Road","Harrodsburg","KY","40330"
150,"2004-02-27","2004-03-04",178,0.55,32.42,,"","","","","","","",,16,"Dog Food-Can-Premium",1179,0.8,"Dog",12,"Love","David","606-282-6165","5745 Mud River Valley Road","Harrodsburg","KY","40330"
151,"2004-02-27","2004-03-17",1,0.89,45.75,9,"","Fish","Guppy","2004-03-10","Male","","Gold",2,,"",,,"",12,"Love","David","606-282-6165","5745 Mud River Valley Road","Harrodsburg","KY","40330"
152,"2004-02-27","2004-03-17",1,50.58,45.75,37,"Hunter","Dog","Bassett Hound","2004-05-04","Male","AKC","Brown",115.39,,"",,,"",12,"Love","David","606-282-6165","5745 Mud River Valley Road","Harrodsburg","KY","40330"
153,"2004-02-27","2004-03-17",1,199.83,45.75,122,"Gayle","Cat","Bombay","2004-02-14","Female","CFA","Black",282.84,,"",,,"",12,"Love","David","606-282-6165","5745 Mud River Valley Road","Harrodsburg","KY","40330"
154,"2004-03-01","2004-07-11",1,52.81,47.47,182,"Duane","Dog","Rottweiler","2004-05-28","Male","AKC","Red",218.49,,"",,,"",5,"Sims","Stephanie","615-048-9494","4696 Green Street","Smyrna","TN","37167"
155,"2004-03-01","2004-07-11",1,60.29,47.47,90,"Chad","Dog","Great Dane","2004-06-15","Male","","Black",223.97,,"",,,"",5,"Sims","Stephanie","615-048-9494","4696 Green Street","Smyrna","TN","37167"
156,"2004-03-01","2004-07-11",1,65.77,47.47,17,"Jackie","Dog","Doberman","2004-04-12","Male","AKC","Black",165.73,,"",,,"",5,"Sims","Stephanie","615-048-9494","4696 Green Street","Smyrna","TN","37167"
157,"2004-03-01","2004-07-11",1,94.9,47.47,83,"Laura","Dog","Chihuahua","2004-01-25","Female","AKC","Brown",155.46,,"",,,"",5,"Sims","Stephanie","615-048-9494","4696 Green Street","Smyrna","TN","37167"
158,"2004-03-01","2004-07-11",1,102.53,47.47,56,"Lillie","Cat","Abyssinian","2004-04-03","Female","CFA","White",227.39,,"",,,"",5,"Sims","Stephanie","615-048-9494","4696 Green Street","Smyrna","TN","37167"
159,"2004-03-01","2004-07-11",1,142.13,47.47,195,"Tom","Dog","Dalmation","2004-06-05","Male","AKC","Spotted",195.52,,"",,,"",5,"Sims","Stephanie","615-048-9494","4696 Green Street","Smyrna","TN","37167"
160,"2004-03-06","2004-10-26",1,73.07,62.2,132,"Dennis","Cat","Angora","2004-07-13","Male","","White",157.01,,"",,,"",9,"Dillard","George","803-448-2061","9713 Wildwood Street","Columbia","SC","29201"
161,"2004-03-06","",208,4.42,33.54,,"","","","","","","",,1,"Dog Kennel-Small",11,45,"Dog",10,"Rhodes","Brad","308-466-7092","633 West Street","Kearney","NE","68847"
162,"2004-03-06","",8,24.65,33.54,,"","","","","","","",,1,"Dog Kennel-Small",11,45,"Dog",10,"Rhodes","Brad","308-466-7092","633 West Street","Kearney","NE","68847"
163,"2004-03-06","2004-10-26",1,216.65,62.2,163,"Bruce","Dog","Jack Russell Terrier","2004-09-20","Male","AKC","Brown/White",261.02,,"",,,"",9,"Dillard","George","803-448-2061","9713 Wildwood Street","Columbia","SC","29201"
164,"2004-03-06","2004-10-26",1,202.62,62.2,120,"Chester","Dog","Keeshond","2004-02-25","Male","AKC","Black",216.91,,"",,,"",9,"Dillard","George","803-448-2061","9713 Wildwood Street","Columbia","SC","29201"
165,"2004-03-06","2004-10-26",1,143.29,62.2,152,"Heather","Dog","Collie","2004-06-03","Female","AKC","Brown/Yellow",218.83,,"",,,"",9,"Dillard","George","803-448-2061","9713 Wildwood Street","Columbia","SC","29201"
166,"2004-03-06","2004-10-26",1,119.9,62.2,154,"Orville","Dog","English Bulldog","2004-04-15","Male","AKC","Yellow",197.01,,"",,,"",9,"Dillard","George","803-448-2061","9713 Wildwood Street","Columbia","SC","29201"
167,"2004-03-06","2004-10-26",1,95.99,62.2,47,"Brian","Dog","Cock A Poo","2004-03-03","Male","AKC","Black",206.07,,"",,,"",9,"Dillard","George","803-448-2061","9713 Wildwood Street","Columbia","SC","29201"
168,"2004-03-07","",1,77.04,42.37,125,"Harlen","Dog","Cocker Spaniel","2004-03-17","Male","AKC","Yellow",193.08,,"",,,"",4,"Frost","Kaye","606-630-0346","7049 Carrington Road","Middlesboro","KY","40965"
169,"2004-03-07","",1,63,42.37,192,"Sally","Cat","American Shorthair","2004-06-26","Female","CFA","Black",196.87,,"",,,"",4,"Frost","Kaye","606-630-0346","7049 Carrington Road","Middlesboro","KY","40965"
170,"2004-03-07","",1,60.83,42.37,69,"Inez","Dog","Border Collie","2004-02-24","Female","AKC","Brown/White",104.88,,"",,,"",4,"Frost","Kaye","606-630-0346","7049 Carrington Road","Middlesboro","KY","40965"
171,"2004-03-07","",1,9.73,42.37,173,"","Mammal","Hamster","2004-06-06","Female","","Yellow",22,,"",,,"",4,"Frost","Kaye","606-630-0346","7049 Carrington Road","Middlesboro","KY","40965"
172,"2004-03-14","",1,271.11,61.06,147,"Kelly","Dog","Alaskan Malamute","2004-03-25","Male","AKC","White",272.52,,"",,,"",9,"Dillard","George","803-448-2061","9713 Wildwood Street","Columbia","SC","29201"
173,"2004-03-19","2004-03-24",1,52.91,49.2,149,"Elizabeth","Cat","Tonkinese","2004-06-06","Female","CFA","Yellow",138.82,,"",,,"",9,"Dillard","George","803-448-2061","9713 Wildwood Street","Columbia","SC","29201"
174,"2004-03-19","2004-03-24",1,5.79,49.2,201,"","Mammal","Hamster","2004-02-22","Male","","Brown",22,,"",,,"",9,"Dillard","George","803-448-2061","9713 Wildwood Street","Columbia","SC","29201"
175,"2004-03-19","2004-03-24",1,90.27,49.2,158,"Russell","Dog","Shetland Sheepdog","2004-03-20","Male","AKC","White/Brown",167.16,,"",,,"",9,"Dillard","George","803-448-2061","9713 Wildwood Street","Columbia","SC","29201"
176,"2004-03-27","",39,2.84,60.13,,"","","","","","","",,18,"Cat Food-Can-Premium",1874,1,"Cat",14,"Harrison","Angela","606-121-7621","8558 N. Main Street","Fort Thomas","KY","41075"
177,"2004-04-03","2004-08-16",1,89.35,52.07,26,"Orville","Dog","Shetland Sheepdog","2004-07-06","Male","AKC","Gray",242,,"",,,"",3,"Murphy","Faye","402-477-9061","4218 Industrial Drive","Omaha","NE","68108"
178,"2004-04-06","",1,67.18,51.03,145,"Ruby","Dog","Weimaraner","2004-03-23","Female","AKC","Brown",201.85,,"",,,"",11,"Parrish","Mandy","606-033-1460","9641 Elm Street","Danville","KY","40422"
179,"2004-04-06","",1,138.44,51.03,10,"Sherri","Dog","Siberian Huskie","2004-09-13","Female","AKC","Black/White",166.79,,"",,,"",11,"Parrish","Mandy","606-033-1460","9641 Elm Street","Danville","KY","40422"
180,"2004-04-08","2004-10-19",1,76.28,52.62,131,"Elvis","Dog","Mastiff","2004-03-11","Male","AKC","Black",214.39,,"",,,"",2,"Fugate","Jody","615-625-9479","787 Park Street","Springfield","TN","37172"
181,"2004-04-08","2004-10-19",1,80.27,52.62,169,"Lorene","Dog","Coon Hound","2004-09-11","Female","","Yellow",132.48,,"",,,"",2,"Fugate","Jody","615-625-9479","787 Park Street","Springfield","TN","37172"
182,"2004-04-08","2004-10-19",1,91.04,52.62,109,"","Fish","Angel","2004-04-05","Female","","Yellow",128.22,,"",,,"",2,"Fugate","Jody","615-625-9479","787 Park Street","Springfield","TN","37172"
183,"2004-04-08","2004-10-19",1,173.56,52.62,15,"Bonita","Dog","Cocker Spaniel","2004-10-21","Female","AKC","Gold",284.85,,"",,,"",2,"Fugate","Jody","615-625-9479","787 Park Street","Springfield","TN","37172"
184,"2004-04-09","",1,148.11,54.86,121,"Rachel","Dog","Norfolk Terrier","2004-08-02","Female","AKC","Gray",284.54,,"",,,"",1,"Hardin","Fannie","606-568-1851","8999 Weeping Willow Road","Berea","KY","40403"
185,"2004-04-10","2004-07-03",1,16.5,48.07,184,"","Fish","Tetra","2004-05-21","Male","","Black/Blue",25,,"",,,"",2,"Fugate","Jody","615-625-9479","787 Park Street","Springfield","TN","37172"
186,"2004-04-10","2004-07-03",1,113.35,48.07,124,"Trina","Cat","Oriental Shorthair","2004-05-25","Female","CFA","Gray",187.7,,"",,,"",2,"Fugate","Jody","615-625-9479","787 Park Street","Springfield","TN","37172"
187,"2004-04-10","2004-07-03",1,158.42,48.07,35,"Charles","Bird","Parakeet","2004-04-09","Male","","Blue/Gold",203.1,,"",,,"",2,"Fugate","Jody","615-625-9479","787 Park Street","Springfield","TN","37172"
188,"2004-04-18","",14,17.87,42.08,,"","","","","","","",,4,"Dog Kennel-Extra Large",6,110,"Dog",14,"Harrison","Angela","606-121-7621","8558 N. Main Street","Fort Thomas","KY","41075"
189,"2004-04-18","",34,20.28,42.08,,"","","","","","","",,4,"Dog Kennel-Extra Large",6,110,"Dog",14,"Harrison","Angela","606-121-7621","8558 N. Main Street","Fort Thomas","KY","41075"
190,"2004-04-18","",179,0.6,42.08,,"","","","","","","",,4,"Dog Kennel-Extra Large",6,110,"Dog",14,"Harrison","Angela","606-121-7621","8558 N. Main Street","Fort Thomas","KY","41075"
191,"2004-04-21","",1,66.28,68.24,68,"Hoyt","Bird","Parrot","2004-03-28","Male","","Blue/Red",235.27,,"",,,"",5,"Sims","Stephanie","615-048-9494","4696 Green Street","Smyrna","TN","37167"
192,"2004-04-22","",1,18.3,60.2,181,"","Fish","Tetra","2004-06-16","Male","","Brown/Red",23,,"",,,"",6,"Mason","Whitney","307-645-4066","5230 Pleasant Valley Drive","Cheyenne","WY","82001"
193,"2004-04-22","",1482,0.41,21.87,,"","","","","","","",,6,"Cat Bed-Medium",35,35,"Cat",13,"Hughes","Natasha","615-798-8614","5610 Church Street","Cookeville","TN","38501"
194,"2004-04-22","",103,23.78,21.87,,"","","","","","","",,6,"Cat Bed-Medium",35,35,"Cat",13,"Hughes","Natasha","615-798-8614","5610 Church Street","Cookeville","TN","38501"
195,"2004-04-22","",55,5.21,21.87,,"","","","","","","",,6,"Cat Bed-Medium",35,35,"Cat",13,"Hughes","Natasha","615-798-8614","5610 Church Street","Cookeville","TN","38501"
196,"2004-04-22","",1,54.63,60.2,18,"Allison","Cat","Manx","2004-04-21","Female","CFA","Black",215.92,,"",,,"",6,"Mason","Whitney","307-645-4066","5230 Pleasant Valley Drive","Cheyenne","WY","82001"
197,"2004-04-22","",1,65.72,60.2,62,"Linda","Cat","Russian Blue","2004-08-22","Female","CFA","Gray/Blue",96.73,,"",,,"",6,"Mason","Whitney","307-645-4066","5230 Pleasant Valley Drive","Cheyenne","WY","82001"
198,"2004-04-22","",1,78.03,60.2,139,"Claudia","Dog","Doberman","2004-08-02","Female","AKC","Black",220.97,,"",,,"",6,"Mason","Whitney","307-645-4066","5230 Pleasant Valley Drive","Cheyenne","WY","82001"
199,"2004-04-22","",1,114.79,60.2,61,"Sandy","Dog","Chinese Shar Pei","2004-06-01","Female","","Brown",221.55,,"",,,"",6,"Mason","Whitney","307-645-4066","5230 Pleasant Valley Drive","Cheyenne","WY","82001"
200,"2004-04-22","",3,124.2,21.87,,"","","","","","","",,6,"Cat Bed-Medium",35,35,"Cat",13,"Hughes","Natasha","615-798-8614","5610 Church Street","Cookeville","TN","38501"
201,"2004-04-22","",5,17.64,21.87,,"","","","","","","",,6,"Cat Bed-Medium",35,35,"Cat",13,"Hughes","Natasha","615-798-8614","5610 Church Street","Cookeville","TN","38501"
202,"2004-04-22","",9,41.5,21.87,,"","","","","","","",,6,"Cat Bed-Medium",35,35,"Cat",13,"Hughes","Natasha","615-798-8614","5610 Church Street","Cookeville","TN","38501"
203,"2004-04-22","",18,5.17,21.87,,"","","","","","","",,6,"Cat Bed-Medium",35,35,"Cat",13,"Hughes","Natasha","615-798-8614","5610 Church Street","Cookeville","TN","38501"
204,"2004-04-27","",12,13.74,33.89,,"","","","","","","",,9,"Dog Food-Dry-10 pound",211,7.5,"Dog",11,"Parrish","Mandy","606-033-1460","9641 Elm Street","Danville","KY","40422"
205,"2004-05-02","",1,53.36,46.35,151,"Lester","Bird","Parrot","2004-04-09","Male","","Red",244.19,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
206,"2004-05-02","",1,13.4,46.35,29,"","Fish","Snail","2004-06-15","Male","","White",15,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
207,"2004-05-02","",1,84.54,46.35,130,"Darrell","Dog","Greyhound","2004-07-14","Male","AKC","Gray",157.83,,"",,,"",7,"Lamb","Malcolm","502-787-8033","4379 Greensburg Street","Newburg","KY","40218"
208,"2004-05-04","",312,0.81,31.04,,"","","","","","","",,10,"Dog Food-Dry-25 pound",100,16,"Dog",13,"Hughes","Natasha","615-798-8614","5610 Church Street","Cookeville","TN","38501"
209,"2004-05-04","",328,7.83,31.04,,"","","","","","","",,10,"Dog Food-Dry-25 pound",100,16,"Dog",13,"Hughes","Natasha","615-798-8614","5610 Church Street","Cookeville","TN","38501"
210,"2004-05-04","",19,17.45,31.04,,"","","","","","","",,10,"Dog Food-Dry-25 pound",100,16,"Dog",13,"Hughes","Natasha","615-798-8614","5610 Church Street","Cookeville","TN","38501"
211,"2004-05-04","",205,0.66,31.04,,"","","","","","","",,10,"Dog Food-Dry-25 pound",100,16,"Dog",13,"Hughes","Natasha","615-798-8614","5610 Church Street","Cookeville","TN","38501"
212,"2004-05-10","",1,122.72,40.35,64,"","Reptile","Python","2004-04-11","Female","","Black",255.25,,"",,,"",1,"Hardin","Fannie","606-568-1851","8999 Weeping Willow Road","Berea","KY","40403"
213,"2004-05-19","",1,72.44,40.65,100,"Bill","Cat","Scottish Fold","2004-08-06","Male","CFA","Gray",132.79,,"",,,"",5,"Sims","Stephanie","615-048-9494","4696 Green Street","Smyrna","TN","37167"
214,"2004-05-19","",1,92.08,40.65,99,"","Mammal","Ferret","2004-07-27","Male","","Black",230.89,,"",,,"",5,"Sims","Stephanie","615-048-9494","4696 Green Street","Smyrna","TN","37167"
215,"2004-05-20","",7,50.63,29.27,,"","","","","","","",,14,"Cat Food-Dry-25 pound",300,18,"Cat",12,"Love","David","606-282-6165","5745 Mud River Valley Road","Harrodsburg","KY","40330"
216,"2004-05-20","",25,6.82,29.27,,"","","","","","","",,14,"Cat Food-Dry-25 pound",300,18,"Cat",12,"Love","David","606-282-6165","5745 Mud River Valley Road","Harrodsburg","KY","40330"
217,"2004-05-20","",48,6.81,29.27,,"","","","","","","",,14,"Cat Food-Dry-25 pound",300,18,"Cat",12,"Love","David","606-282-6165","5745 Mud River Valley Road","Harrodsburg","KY","40330"
218,"2004-05-20","",125,4.62,29.27,,"","","","","","","",,14,"Cat Food-Dry-25 pound",300,18,"Cat",12,"Love","David","606-282-6165","5745 Mud River Valley Road","Harrodsburg","KY","40330"
219,"2004-05-20","",1307,0.39,29.27,,"","","","","","","",,14,"Cat Food-Dry-25 pound",300,18,"Cat",12,"Love","David","606-282-6165","5745 Mud River Valley Road","Harrodsburg","KY","40330"
220,"2004-05-28","2004-06-04",128,6.45,28.64,,"","","","","","","",,2,"Dog Kennel-Medium",12,65,"Dog",11,"Parrish","Mandy","606-033-1460","9641 Elm Street","Danville","KY","40422"
221,"2004-05-28","2004-06-04",6,85.67,28.64,,"","","","","","","",,2,"Dog Kennel-Medium",12,65,"Dog",11,"Parrish","Mandy","606-033-1460","9641 Elm Street","Danville","KY","40422"
222,"2004-05-28","2004-06-04",321,0.8,28.64,,"","","","","","","",,2,"Dog Kennel-Medium",12,65,"Dog",11,"Parrish","Mandy","606-033-1460","9641 Elm Street","Danville","KY","40422"
223,"2004-05-28","2004-06-04",1546,0.36,28.64,,"","","","","","","",,2,"Dog Kennel-Medium",12,65,"Dog",11,"Parrish","Mandy","606-033-1460","9641 Elm Street","Danville","KY","40422"
224,"2004-06-07","2004-06-18",4,93.15,14.22,,"","","","","","","",,7,"Dog Toy",134,4,"Dog",14,"Harrison","Angela","606-121-7621","8558 N. Main Street","Fort Thomas","KY","41075"
225,"2004-06-07","2004-06-18",66,7.99,14.22,,"","","","","","","",,7,"Dog Toy",134,4,"Dog",14,"Harrison","Angela","606-121-7621","8558 N. Main Street","Fort Thomas","KY","41075"
226,"2004-06-11","",1,131.46,32.06,59,"Gaylen","Dog","Dalmation","2004-05-10","Male","AKC","Spotted",199.52,,"",,,"",4,"Frost","Kaye","606-630-0346","7049 Carrington Road","Middlesboro","KY","40965"
227,"2004-06-18","",14,18.92,25.38,,"","","","","","","",,11,"Dog Food-Dry-50 pound",373,30,"Dog",11,"Parrish","Mandy","606-033-1460","9641 Elm Street","Danville","KY","40422"
228,"2004-06-18","",92,12.09,25.38,,"","","","","","","",,11,"Dog Food-Dry-50 pound",373,30,"Dog",11,"Parrish","Mandy","606-033-1460","9641 Elm Street","Danville","KY","40422"
229,"2004-06-18","",1424,0.39,25.38,,"","","","","","","",,11,"Dog Food-Dry-50 pound",373,30,"Dog",11,"Parrish","Mandy","606-033-1460","9641 Elm Street","Danville","KY","40422"
230,"2004-06-29","",13,4.46,46.91,,"","","","","","","",,21,"Bird Cage-Medium",5,25,"Bird",15,"Osborne","Christine","615-245-8406","1565 Sunnyhill Trace","Lebanon","TN","37087"
231,"2004-06-29","",27,5.27,46.91,,"","","","","","","",,21,"Bird Cage-Medium",5,25,"Bird",15,"Osborne","Christine","615-245-8406","1565 Sunnyhill Trace","Lebanon","TN","37087"
232,"2004-06-29","",132,16.14,46.91,,"","","","","","","",,21,"Bird Cage-Medium",5,25,"Bird",15,"Osborne","Christine","615-245-8406","1565 Sunnyhill Trace","Lebanon","TN","37087"
233,"2004-06-29","",316,0.78,46.91,,"","","","","","","",,21,"Bird Cage-Medium",5,25,"Bird",15,"Osborne","Christine","615-245-8406","1565 Sunnyhill Trace","Lebanon","TN","37087"
234,"2004-07-01","2004-07-03",221,6.09,39.3,,"","","","","","","",,8,"Cat Toy",182,3,"Cat",11,"Parrish","Mandy","606-033-1460","9641 Elm Street","Danville","KY","40422"
235,"2004-07-01","2004-07-03",13,6.01,39.3,,"","","","","","","",,8,"Cat Toy",182,3,"Cat",11,"Parrish","Mandy","606-033-1460","9641 Elm Street","Danville","KY","40422"
236,"2004-07-01","2004-07-03",233,0.47,39.3,,"","","","","","","",,8,"Cat Toy",182,3,"Cat",11,"Parrish","Mandy","606-033-1460","9641 Elm Street","Danville","KY","40422"
237,"2004-07-01","2004-07-03",292,0.78,39.3,,"","","","","","","",,8,"Cat Toy",182,3,"Cat",11,"Parrish","Mandy","606-033-1460","9641 Elm Street","Danville","KY","40422"
238,"2004-07-03","2004-09-18",1,3.32,38.64,117,"Wallace","Cat","Other","2004-08-09","Male","CFA","Brown",50,,"",,,"",3,"Murphy","Faye","402-477-9061","4218 Industrial Drive","Omaha","NE","68108"
239,"2004-07-03","2004-09-18",1,54.63,38.64,110,"Cathy","Bird","African Grey","2004-07-05","Female","","Gray/Red",192.77,,"",,,"",3,"Murphy","Faye","402-477-9061","4218 Industrial Drive","Omaha","NE","68108"
240,"2004-07-11","2004-07-15",1,75.97,53.88,34,"Rhonda","Dog","Maltipoos","2004-07-16","Female","AKC","Gray",199.49,,"",,,"",5,"Sims","Stephanie","615-048-9494","4696 Green Street","Smyrna","TN","37167"
241,"2004-07-11","2004-07-15",1,94.87,53.88,197,"","Spider","Tarantula","2004-06-10","Female","","Black",221.85,,"",,,"",5,"Sims","Stephanie","615-048-9494","4696 Green Street","Smyrna","TN","37167"
242,"2004-08-09","2004-08-15",4,134.73,42.25,,"","","","","","","",,17,"Cat Food-Can-Regular",7470,0.5,"Cat",14,"Harrison","Angela","606-121-7621","8558 N. Main Street","Fort Thomas","KY","41075"
243,"2004-08-09","2004-08-15",10,25.13,42.25,,"","","","","","","",,17,"Cat Food-Can-Regular",7470,0.5,"Cat",14,"Harrison","Angela","606-121-7621","8558 N. Main Street","Fort Thomas","KY","41075"
244,"2004-08-09","2004-08-15",359,6.17,42.25,,"","","","","","","",,17,"Cat Food-Can-Regular",7470,0.5,"Cat",14,"Harrison","Angela","606-121-7621","8558 N. Main Street","Fort Thomas","KY","41075"
245,"2004-08-09","2004-08-15",301,0.77,42.25,,"","","","","","","",,17,"Cat Food-Can-Regular",7470,0.5,"Cat",14,"Harrison","Angela","606-121-7621","8558 N. Main Street","Fort Thomas","KY","41075"
246,"2004-08-09","2004-08-15",94,21.41,42.25,,"","","","","","","",,17,"Cat Food-Can-Regular",7470,0.5,"Cat",14,"Harrison","Angela","606-121-7621","8558 N. Main Street","Fort Thomas","KY","41075"
247,"2004-08-09","2004-08-15",10,35.75,42.25,,"","","","","","","",,17,"Cat Food-Can-Regular",7470,0.5,"Cat",14,"Harrison","Angela","606-121-7621","8558 N. Main Street","Fort Thomas","KY","41075"
248,"2004-08-09","2004-08-15",17,19.01,42.25,,"","","","","","","",,17,"Cat Food-Can-Regular",7470,0.5,"Cat",14,"Harrison","Angela","606-121-7621","8558 N. Main Street","Fort Thomas","KY","41075"
249,"2004-08-11","2004-08-16",57,5.52,21.68,,"","","","","","","",,20,"Wood Shavings/Bedding",141,10,"Mammal",13,"Hughes","Natasha","615-798-8614","5610 Church Street","Cookeville","TN","38501"
